algorithm,array_type,array_size,time_us,char_cmp
StdMergeSort,random,2500,5369.7,36284
StdQuickSort,random,2500,987.5,44045
StringMergeSort,random,2500,6420.9,68620
StringQuickSort,random,2500,463,26515
MsdRadixSort,random,2500,3410.1,6519
MsdRadixSortHybrid,random,2500,650.9,13313
StdMergeSort,reverse,2500,4587.2,21772
StdQuickSort,reverse,2500,72647.7,3175947
StringMergeSort,reverse,2500,6671,78858
StringQuickSort,reverse,2500,1348.5,101750
MsdRadixSort,reverse,2500,3482.1,6719
MsdRadixSortHybrid,reverse,2500,952.7,35050
StdMergeSort,nearly_sorted,2500,4873.5,34730
StdQuickSort,nearly_sorted,2500,2536.3,116307
StringMergeSort,nearly_sorted,2500,6435.2,85497
StringQuickSort,nearly_sorted,2500,712.4,39435
MsdRadixSort,nearly_sorted,2500,3497.1,6681
MsdRadixSortHybrid,nearly_sorted,2500,627.2,16628
StdMergeSort,random,2600,5410.1,38097
StdQuickSort,random,2600,1398.3,43323
StringMergeSort,random,2600,6836.8,71912
StringQuickSort,random,2600,516.1,30802
MsdRadixSort,random,2600,3544,6804
MsdRadixSortHybrid,random,2600,782.2,14026
StdMergeSort,reverse,2600,5059.4,22580
StdQuickSort,reverse,2600,77407.8,3432839
StringMergeSort,reverse,2600,6489.7,82390
StringQuickSort,reverse,2600,1603.7,107784
MsdRadixSort,reverse,2600,3690.8,6980
MsdRadixSortHybrid,reverse,2600,869.2,36436
StdMergeSort,nearly_sorted,2600,4698.4,36335
StdQuickSort,nearly_sorted,2600,2650.6,115820
StringMergeSort,nearly_sorted,2600,6889.5,89283
StringQuickSort,nearly_sorted,2600,703.6,41362
MsdRadixSort,nearly_sorted,2600,3755,6957
MsdRadixSortHybrid,nearly_sorted,2600,652.5,17211
StdMergeSort,random,2700,5098.2,39839
StdQuickSort,random,2700,1059.8,46967
StringMergeSort,random,2700,6924.7,75307
StringQuickSort,random,2700,528.5,29134
MsdRadixSort,random,2700,3944,7109
MsdRadixSortHybrid,random,2700,670,14702
StdMergeSort,reverse,2700,5062,23499
StdQuickSort,reverse,2700,79623.5,3699723
StringMergeSort,reverse,2700,6886.9,86004
StringQuickSort,reverse,2700,1531.6,116492
MsdRadixSort,reverse,2700,3773,7252
MsdRadixSortHybrid,reverse,2700,904,37754
StdMergeSort,nearly_sorted,2700,4785.4,38043
StdQuickSort,nearly_sorted,2700,2380.5,118569
StringMergeSort,nearly_sorted,2700,6601.8,93269
StringQuickSort,nearly_sorted,2700,549.2,41152
MsdRadixSort,nearly_sorted,2700,5146.2,7239
MsdRadixSortHybrid,nearly_sorted,2700,632.2,17893
StdMergeSort,random,2800,5043.4,41650
StdQuickSort,random,2800,1132.6,50191
StringMergeSort,random,2800,7038.3,78495
StringQuickSort,random,2800,591.2,33145
